tamanho: 10
Tempo: 22.616236s, Frequência: 301.17Hz, Nota: 4, Amplitude: 119.59
Tempo: 22.639456s, Frequência: 301.17Hz, Nota: 4, Amplitude: 90.02
Tempo: 22.848435s, Frequência: 344.20Hz, Nota: 5, Amplitude: 102.79
Tempo: 22.871655s, Frequência: 258.15Hz, Nota: 3, Amplitude: 173.46
Tempo: 22.894875s, Frequência: 193.61Hz, Nota: 6, Amplitude: 179.12
Tempo: 22.918095s, Frequência: 129.07Hz, Nota: 3, Amplitude: 161.43
Tempo: 22.941315s, Frequência: 129.07Hz, Nota: 3, Amplitude: 296.24
Tempo: 22.964535s, Frequência: 129.07Hz, Nota: 3, Amplitude: 296.10
Tempo: 22.987755s, Frequência: 107.56Hz, Nota: 1, Amplitude: 305.70

tamanho: 11
Tempo: 23.010975s, Frequência: 107.56Hz, Nota: 1, Amplitude: 226.32
Tempo: 23.034195s, Frequência: 86.05Hz, Nota: 5, Amplitude: 158.18
Tempo: 23.057415s, Frequência: 86.05Hz, Nota: 5, Amplitude: 139.67
Tempo: 23.080635s, Frequência: 86.05Hz, Nota: 5, Amplitude: 119.99
Tempo: 23.103855s, Frequência: 86.05Hz, Nota: 5, Amplitude: 94.32
Tempo: 23.545034s, Frequência: 344.20Hz, Nota: 5, Amplitude: 137.30
Tempo: 23.568254s, Frequência: 322.68Hz, Nota: 5, Amplitude: 281.57
Tempo: 23.591474s, Frequência: 301.17Hz, Nota: 4, Amplitude: 283.84
Tempo: 23.614694s, Frequência: 301.17Hz, Nota: 4, Amplitude: 188.12
Tempo: 23.637914s, Frequência: 301.17Hz, Nota: 4, Amplitude: 137.04
Tempo: 23.661134s, Frequência: 301.17Hz, Nota: 4, Amplitude: 103.51

tamanho: 16
Tempo: 24.241633s, Frequência: 322.68Hz, Nota: 5, Amplitude: 139.33
Tempo: 24.264853s, Frequência: 236.63Hz, Nota: 2, Amplitude: 162.31
Tempo: 24.288073s, Frequência: 193.61Hz, Nota: 6, Amplitude: 146.35
Tempo: 24.311293s, Frequência: 129.07Hz, Nota: 3, Amplitude: 236.47
Tempo: 24.334512s, Frequência: 129.07Hz, Nota: 3, Amplitude: 310.86
Tempo: 24.357732s, Frequência: 107.56Hz, Nota: 1, Amplitude: 281.99
Tempo: 24.380952s, Frequência: 107.56Hz, Nota: 1, Amplitude: 265.92
Tempo: 24.404172s, Frequência: 107.56Hz, Nota: 1, Amplitude: 154.97
Tempo: 24.427392s, Frequência: 86.05Hz, Nota: 5, Amplitude: 95.79
Tempo: 24.450612s, Frequência: 86.05Hz, Nota: 5, Amplitude: 88.24
Tempo: 24.473832s, Frequência: 86.05Hz, Nota: 5, Amplitude: 87.40
Tempo: 24.497052s, Frequência: 86.05Hz, Nota: 5, Amplitude: 81.31
Tempo: 24.915011s, Frequência: 365.71Hz, Nota: 6, Amplitude: 79.39
Tempo: 24.938231s, Frequência: 322.68Hz, Nota: 5, Amplitude: 269.89
Tempo: 24.961451s, Frequência: 301.17Hz, Nota: 4, Amplitude: 340.97
Tempo: 24.984671s, Frequência: 301.17Hz, Nota: 4, Amplitude: 222.45

tamanho: 13
Tempo: 25.007891s, Frequência: 301.17Hz, Nota: 4, Amplitude: 166.50
Tempo: 25.031111s, Frequência: 301.17Hz, Nota: 4, Amplitude: 124.27
Tempo: 25.611610s, Frequência: 279.66Hz, Nota: 3, Amplitude: 119.01
Tempo: 25.634830s, Frequência: 279.66Hz, Nota: 3, Amplitude: 183.10
Tempo: 25.658050s, Frequência: 215.12Hz, Nota: 1, Amplitude: 220.70
Tempo: 25.681270s, Frequência: 129.07Hz, Nota: 3, Amplitude: 197.81
